LSOA11,G_25_5
E01023741,0
E01023684,0
E01023726,0
E01023682,0
E01023740,0
E01023743,0
E01023727,0
E01023683,0
E01023729,0
E01023667,0
E01023744,0
E01023738,0
E01023737,0
E01023739,0
E01023676,0
E01023716,0
E01023728,0
E01023675,0
E01023715,0
E01023714,0
E01023673,0
E01023674,0
E01023665,0
E01023681,0
E01023678,0
E01023666,0
E01023920,0
E01033311,0
E01023930,0
E01023929,0
E01023921,0
E01023927,0
E01023926,0
E01023924,0
E01023922,0
E01023923,0
E01023932,0
E01023937,0
E01023964,0
E01023933,0
E01023936,0
E01023935,0
E01023963,0
E01023938,0
E01023934,0
E01033314,0
E01033308,0
E01033313,0
E01033310,0
E01023704,0
E01033029,0
E01023708,0
E01023584,0
E01023583,0
E01023705,0
E01033028,0
E01023706,0
E01023731,0
E01023719,0
E01023721,0
E01023717,0
E01023720,0
E01023732,0
E01023718,0
E01023526,0
E01023730,0
E01023733,0
E01023722,0
E01023742,0
E01023745,0
E01023713,0
E01023670,0
E01023672,0
E01023669,0
E01023671,0
E01023736,0
E01023749,0
E01023696,0
E01023431,0
E01023724,0
E01023725,0
E01023723,0
E01023432,0
E01023430,0
E01023433,0
E01017561,0
E01023677,0
E01023712,0
E01023668,0
E01023664,0
E01023680,0
E01023679,0
E01023747,0
E01023748,0
E01023746,0
E01023626,0
E01023734,0
E01023735,0
E01023709,0
E01023711,0
E01023710,0
E01023697,0
E01023686,0
E01023698,0
E01023701,0
E01023703,0
E01023695,0
E01023700,0
E01023699,0
E01023690,0
E01023691,0
E01023694,0
E01017564,0
E01023692,0
E01023693,0
E01023689,0
E01023685,0
E01023688,0
E01023702,0
E01023687,0
E01023486,0
E01023971,0
E01023968,0
E01023965,0
E01023962,0
E01023966,0
E01023467,0
E01023967,0
E01023485,0
E01023950,0
E01023627,0
E01023954,0
E01023969,0
E01023970,0
E01023959,0
E01023919,0
E01023595,0
E01023912,0
E01023915,0
E01023914,0
E01023944,0
E01023958,0
E01023943,0
E01023913,0
E01023951,0
E01023952,0
E01023953,0
E01023956,0
E01023957,0
E01023945,0
E01023955,0
E01023939,0
E01023940,0
E01023942,0
E01023946,0
E01023941,0
E01023925,0
E01023918,0
E01023917,0
E01023916,0
E01023961,0
E01023960,0
E01023910,0
E01023909,0
E01023908,0
E01023911,0
E01033625,0
E01033615,0
E01033620,0
E01033616,0
E01033557,0
E01008910,0
E01009146,0
E01033627,0
E01033622,0
E01033565,0
E01033619,0
E01009141,0
E01033623,0
E01009363,0
E01009380,0
E01009379,0
E01009338,0
E01009329,0
E01009337,0
E01009335,0
E01009364,0
E01009200,0
E01009334,0
E01009332,0
E01009198,0
E01009328,0
E01009344,0
E01033642,0
E01009325,0
E01009342,0
E01009326,0
E01009343,0
E01009327,0
E01009331,0
E01009371,0
E01009365,0
E01009368,0
E01033650,0
E01009372,0
E01009373,0
E01008889,0
E01009367,0
E01009377,0
E01009340,0
E01008884,0
E01008890,0
E01008887,0
E01009026,0
E01009028,0
E01009339,0
E01033641,0
E01009391,0
E01009393,0
E01009017,0
E01009014,0
E01009018,0
E01009029,0
E01033643,0
E01009396,0
E01009395,0
E01009392,0
E01009382,0
E01009394,0
E01009389,0
E01009383,0
E01009397,0
E01009399,0
E01009378,0
E01009362,0
E01033648,0
E01009375,0
E01009376,0
E01009384,0
E01009374,0
E01009366,0
E01033645,0
E01009182,0
E01009183,0
E01009179,0
E01008932,0
E01009176,0
E01008933,0
E01009046,0
E01008935,0
E01009031,0
E01008934,0
E01008937,0
E01008968,0
E01008939,0
E01008938,0
E01008971,0
E01008969,0
E01008936,0
E01009184,0
E01009385,0
E01009186,0
E01008964,0
E01008963,0
E01009390,0
E01009187,0
E01009185,0
E01009044,0
E01009045,0
E01009189,0
E01009175,0
E01009188,0
E01008943,0
E01008945,0
E01008941,0
E01008940,0
E01008944,0
E01008946,0
E01010218,0
E01008942,0
E01008947,0
E01008948,0
E01008949,0
E01008974,0
E01008976,0
E01008978,0
E01008980,0
E01008979,0
E01009120,0
E01032134,0
E01032145,0
E01008981,0
E01008967,0
E01008970,0
E01008966,0
E01008973,0
E01008975,0
E01008972,0
E01009178,0
E01008965,0
E01009177,0
E01033639,0
E01008994,0
E01009143,0
E01033624,0
E01033631,0
E01008990,0
E01033626,0
E01033640,0
E01033567,0
E01008997,0
E01033562,0
E01008995,0
E01009284,0
E01008992,0
E01008989,0
E01008988,0
E01009069,0
E01008991,0
E01009140,0
E01009153,0
E01009152,0
E01009151,0
E01008986,0
E01010065,0
E01009145,0
E01009138,0
E01033618,0
E01033564,0
E01008987,0
E01009147,0
E01009072,0
E01009071,0
E01009068,0
E01009075,0
E01009078,0
E01009077,0
E01009064,0
E01009249,0
E01009260,0
E01009066,0
E01009065,0
E01009139,0
E01009252,0
E01009261,0
E01009070,0
E01009067,0
E01009345,0
E01009346,0
E01010063,0
E01009361,0
E01009360,0
E01009359,0
E01033559,0
E01033638,0
E01009347,0
E01009348,0
E01009358,0
E01008907,0
E01009355,0
E01009048,0
E01009047,0
E01009062,0
E01009059,0
E01009060,0
E01008905,0
E01033628,0
E01008906,0
E01008913,0
E01008909,0
E01008911,0
E01033617,0
E01008914,0
E01009267,0
E01009264,0
E01009266,0
E01009278,0
E01009262,0
E01009279,0
E01009276,0
E01032591,0
E01009263,0
E01009049,0
E01009050,0
E01009352,0
E01009056,0
E01009265,0
E01009270,0
E01009350,0
E01009051,0
E01033621,0
E01009054,0
E01009058,0
E01009053,0
E01009242,0
E01009057,0
E01009272,0
E01009349,0
E01009351,0
E01009274,0
E01009354,0
E01009275,0
E01033635,0
E01009273,0
E01009271,0
E01009269,0
E01009268,0
E01010101,0
E01009353,0
E01009007,0
E01009121,0
E01009136,0
E01009002,0
E01009122,0
E01009132,0
E01009406,0
E01009404,0
E01033632,0
E01009403,0
E01009458,0
E01009123,0
E01009001,0
E01009472,0
E01009135,0
E01009405,0
E01009407,0
E01009460,0
E01009006,0
E01009003,0
E01033646,0
E01033630,0
E01009413,0
E01009409,0
E01009013,0
E01009000,0
E01009408,0
E01009410,0
E01009411,0
E01009414,0
E01009124,0
E01009126,0
E01009125,0
E01009412,0
E01009401,0
E01009232,0
E01009008,0
E01009098,0
E01009105,0
E01009005,0
E01009100,0
E01009009,0
E01009011,0
E01009461,0
E01009096,0
E01009102,0
E01008999,0
E01009104,0
E01009400,0
E01008998,0
E01009202,0
E01009012,0
E01009082,0
E01009101,0
E01008883,0
E01008882,0
E01008881,0
E01008886,0
E01008898,0
E01008896,0
E01008897,0
E01009515,0
E01009513,0
E01009521,0
E01009518,0
E01008885,0
E01008891,0
E01008888,0
E01010162,0
E01009313,0
E01009312,0
E01009316,0
E01009520,0
E01009324,0
E01009516,0
E01009517,0
E01009514,0
E01009314,0
E01009519,0
E01009323,0
E01009322,0
E01009315,0
E01010109,0
E01009320,0
E01009319,0
E01009317,0
E01009318,0
E01010138,0
E01009321,0
E01008894,0
E01008893,0
E01008892,0
E01008895,0
E01010177,0
E01010178,0
E01009015,0
E01010157,0
E01009021,0
E01010174,0
E01009024,0
E01009025,0
E01009019,0
E01009020,0
E01009022,0
E01009016,0
E01009023,0
E01009037,0
E01009040,0
E01009035,0
E01009034,0
E01009036,0
E01009039,0
E01009041,0
E01032589,0
E01009042,0
E01009043,0
E01009030,0
E01009032,0
E01009033,0
E01010176,0
E01009294,0
E01009494,0
E01009504,0
E01009505,0
E01009506,0
E01009496,0
E01009495,0
E01009493,0
E01009503,0
E01009501,0
E01009291,0
E01009500,0
E01009502,0
E01008929,0
E01008924,0
E01008919,0
E01009289,0
E01033634,0
E01009290,0
E01009281,0
E01009280,0
E01009295,0
E01009292,0
E01009286,0
E01009283,0
E01009288,0
E01009296,0
E01009293,0
E01009282,0
E01008961,0
E01008962,0
E01008959,0
E01008960,0
E01008956,0
E01008954,0
E01008958,0
E01009218,0
E01008950,0
E01008951,0
E01008955,0
E01008952,0
E01008957,0
E01008953,0
E01009119,0
E01009116,0
E01008977,0
E01033629,0
E01008930,0
E01009497,0
E01009498,0
E01009499,0
E01009172,0
E01009163,0
E01009205,0
E01009219,0
E01009208,0
E01009213,0
E01009206,0
E01009210,0
E01009209,0
E01009207,0
E01009162,0
E01009158,0
E01009117,0
E01009217,0
E01009211,0
E01009214,0
E01009216,0
E01009212,0
E01009112,0
E01009215,0
E01009168,0
E01009166,0
E01032142,0
E01009170,0
E01032122,0
E01033633,0
E01009159,0
E01009173,0
E01032169,0
E01009250,0
E01009259,0
E01009253,0
E01009251,0
E01009257,0
E01009256,0
E01009255,0
E01009254,0
E01009073,0
E01009074,0
E01009258,0
E01008918,0
E01008921,0
E01008917,0
E01008920,0
E01008923,0
E01008931,0
E01008928,0
E01008925,0
E01008927,0
E01009299,0
E01009301,0
E01009300,0
E01009303,0
E01009512,0
E01009297,0
